WeekEndDate,Variant,CasesDeath,Number
12/11/2021,BA2,Deaths,0
12/11/2021,BA2121,Cases,0
12/11/2021,BA2121,Deaths,0
12/11/2021,BA4,Cases,0
12/11/2021,BA4,Deaths,0
12/11/2021,BA5,Cases,0
12/11/2021,BA5,Deaths,0
12/11/2021,Other,Cases,2602
12/11/2021,Other,Deaths,25
12/18/2021,All,Cases,928840
12/18/2021,All,Deaths,8721
12/18/2021,B11529,Cases,212412
12/18/2021,B11529,Deaths,1994
12/18/2021,B16172,Cases,576528
12/18/2021,B16172,Deaths,5413
12/18/2021,BA11,Cases,134684
12/18/2021,BA11,Deaths,1265
12/18/2021,BA2,Cases,203
12/18/2021,BA2,Deaths,2
12/18/2021,BA2121,Cases,174
12/18/2021,BA2121,Deaths,2
12/18/2021,BA4,Cases,42
12/18/2021,BA4,Deaths,0
12/18/2021,BA5,Cases,6
12/18/2021,BA5,Deaths,0
12/18/2021,Other,Cases,4792
12/18/2021,Other,Deaths,45
12/25/2021,All,Cases,1478267
12/25/2021,All,Deaths,8124
12/25/2021,B11529,Cases,583552
12/25/2021,B11529,Deaths,3207
12/25/2021,B16172,Cases,388431
12/25/2021,B16172,Deaths,2135
12/25/2021,BA11,Cases,495228
12/25/2021,BA11,Deaths,2722
12/25/2021,BA2,Cases,18
12/25/2021,BA2,Deaths,0
12/25/2021,BA2121,Cases,6
12/25/2021,BA2121,Deaths,0
12/25/2021,BA4,Cases,0
12/25/2021,BA4,Deaths,0
12/25/2021,BA5,Cases,0
12/25/2021,BA5,Deaths,0
12/25/2021,Other,Cases,11032
12/25/2021,Other,Deaths,61
1/1/2022,All,Cases,2950313
1/1/2022,All,Deaths,8766
1/1/2022,B11529,Cases,1300941
1/1/2022,B11529,Deaths,3865
1/1/2022,B16172,Cases,306744
1/1/2022,B16172,Deaths,911
1/1/2022,BA11,Cases,1314261
1/1/2022,BA11,Deaths,3905
1/1/2022,BA2,Cases,369
1/1/2022,BA2,Deaths,1
1/1/2022,BA2121,Cases,65
1/1/2022,BA2121,Deaths,0
1/1/2022,BA4,Cases,0
1/1/2022,BA4,Deaths,0
1/1/2022,BA5,Cases,0
1/1/2022,BA5,Deaths,0
1/1/2022,Other,Cases,27934
1/1/2022,Other,Deaths,
1/8/2022,All,Cases,4916920
1/8/2022,All,Deaths,11719
1/8/2022,B11529,Cases,2044937
1/8/2022,B11529,Deaths,4874
1/8/2022,B16172,Cases,225421
1/8/2022,B16172,Deaths,537
1/8/2022,BA11,Cases,2628040
1/8/2022,BA11,Deaths,6264
1/8/2022,BA2,Cases,5202
1/8/2022,BA2,Deaths,12
1/8/2022,BA2121,Cases,25
1/8/2022,BA2121,Deaths,0
1/8/2022,BA4,Cases,0
1/8/2022,BA4,Deaths,0
1/8/2022,BA5,Cases,0
1/8/2022,BA5,Deaths,0
1/8/2022,Other,Cases,13295
1/8/2022,Other,Deaths,32
1/15/2022,All,Cases,5676022
1/15/2022,All,Deaths,14561
1/15/2022,B11529,Cases,2021055
1/15/2022,B11529,Deaths,5185
1/15/2022,B16172,Cases,110348
1/15/2022,B16172,Deaths,283
1/15/2022,BA11,Cases,3527069
1/15/2022,BA11,Deaths,9048
1/15/2022,BA2,Cases,10285
1/15/2022,BA2,Deaths,26
1/15/2022,BA2121,Cases,0
1/15/2022,BA2121,Deaths,0
1/15/2022,BA4,Cases,0
1/15/2022,BA4,Deaths,0
1/15/2022,BA5,Cases,0
1/15/2022,BA5,Deaths,0
1/15/2022,Other,Cases,7265
1/15/2022,Other,Deaths,19
